Sno,src_loc,date,time,ang_wdt,vcdaw,spce_spd,fht_spd2,20RS_spd2,accel,mass ,KE,mpa ,src_typ,NOAA,onset_time,hale_class,flr_class,flr_dt,flr_tm,icme_dst_dt,icme_dst_tm,plsm_strt_dt,plsm_strt_tm,plsm_end_dt,plsm_end_tm,comp_strt,comp_end,qual,dv ,v,min_dst_icme ,v_max ,meanB,mc,v_trans ,trans_time ,icme_sz ,Icme_min_Bz,sheath_spd ,sheath_sz ,sheath_dst,sheath Bz
1,,1996/12/19,16:30,130,469,,---,---,---,5.1e+14*2,5.6e+29*2,265,data gap jhelio,,,,,,,1996/12/23,16:00:00,1996/12/23,17:00:00,1996/12/25,11:00,,,2,20,360,-18,420,10,2,435,95,,,,,,
2,S18E06,1997/01/06,15:10,360,136,232,224,319,4.1,5.8e+14*2,5.4e+28*2,180,AR,8009,12:41,β,,,,1997/01/10,1:04:00,1997/01/10,4:00:00,1997/01/11,2:00,,,1,100 S,450,-78,460,14,2,507,81,,,,,,
3,S38W31,1997/02/07,0:30,360,490,584,718,635,14.3,4.1e+15*2,4.9e+30*2,266,AR,8017,2/6/97 23:20,α,,,,1997/02/09,13:21:00,1997/02/10,2:00:00,1997/02/10,19:00,,,2,90 S,450,-68,600,8,2,683,60,,,,,,
4,S28E19,1997/04/07,14:27,360,878,1115,905,896,3.3,1.0e+16*2,4.0e+31*2,123,data gap jhelio,,,,,,,1997/04/10,17:45:00,1997/04/11,6:00:00,1997/04/11,19:00,,,1,150,460,-82,470,20,2,552,74,,,,,,
5,N21W19,1997/05/12,5:30,360,464,749,335,220,-15.0*1,4.2e+15*2,4.5e+30*2,264,AR,8038,4:54,α,,,,1997/05/15,1:59:00,1997/05/15,9:00:00,1997/05/16,0:00,,,1,150 S,450,-115,480,21,2,616,67,,,,,,
6,N05W14,1997/05/21,21:00,165,296,,322,323,1.4,2.2e+15*2,9.7e+29*2,267,AR,8040,19:35,β,,,,1997/05/26,9:57:00,1997/05/26,16:00:00,1997/05/27,10:00,0,9,2,70 S,340,-74,350,10,2H,381,108,,,,,,
7,N42W10,1997/07/30,4:45,360,104,129,119,162,0.8,8.2e+14*2,4.5e+28*2,269,data gap jhelio,,,,,,,1997/08/03,10:42:00,1997/08/03,13:00:00,1997/08/04,3:00,,,1,80,400,-48,480,16,2,410,100,,,,,,
8,N30E17,1997/08/30,1:30,360,371,508,460,551,9.3,1.7e+15*2,1.2e+30*2,67,AR,8076,0:17,βγ,,,,1997/09/03,8:00:00,1997/09/03,13:00:00,1997/09/03,21:00,,,3W,40 S,410,-98,430,14,1,405,102,,,,,,
9,N45W16,1997/09/17,20:28,360,377,451,377,377,0,2.6e+15*2,1.9e+30*2,263,AR,8084,18:48,β,,,,1997/09/21,16:51:00,1997/09/21,21:00:00,1997/09/22,16:00,,,1,110,440,-36,470,16,2,450,91,,,,,,
10,N35E10,1997/09/28,1:08,360,359,479,404,409,2.8,4.0e+15*2,2.6e+30*2,87,data gap jhelio,,,,,,,1997/10/01,0:59:00,1997/10/01,16:00:00,1997/10/02,23:00,,,1,60 S,450,-98,470,10,2,580,71,,,,,,
11,S28W10,1997/10/06,15:28,174,293,,524,620,15.9,2.9e+15*2,1.2e+30*2,130,AR,8090,14:34,α,,,,1997/10/10,16:12:00,1997/10/10,22:00:00,1997/10/12,0:00,,,1,40 S,400,-130,450,12,2,430,96,,,,,,
12,Backside,1997/10/23,11:26,360,503,,573,526,3.7,8.2e+15*2,1.0e+31*2,305,AR,8097,11:12,β,,,,1997/10/26,12:00:00,1997/10/27,0:00:00,1997/10/28,7:00,,,2,40,500,-60,520,7,1,572,72,,,,,,
13,S14W33,1997/11/04,6:10,360,785,993,548,698,-22.1,7.5e+15*2,2.3e+31*2,243,AR,8100,5:45,βγδ,X2.1,,,1997/11/06,22:48:00,1997/11/07,4:00:00,1997/11/09,12:00,,,2,140 S,400,-110,460,11,2,640,64,,,,,,
14,,1997/11/19,12:27,360,150,,133,0,-5.1,8.1e+14*2,9.1e+28*2,280,data gap jhelio,,,,,,,1997/11/22,9:49:00,1997/11/22,19:00:00,1997/11/23,14:00,,,1,170 S,510,-108,520,17,2,640,64,,,,,,
15,N20W55,1997/12/06,10:27,223,397,,567,525,9,2.0e+16*2,1.6e+31*2,296,AR,8113,9:58,β,,,,1997/12/10,5:26:00,1997/12/10,18:00:00,1997/12/12,0:00,,,2,50 S,350,-60,380,12,0,460,89,,,,,,
17,N24W42,1998/01/02,23:28,360,438,523,548,515,6.5,5.5e+15*2,5.3e+30*2,275,AR,8126,23:37,β,,,,1998/01/06,14:16:00,1998/01/07,1:00:00,1998/01/08,22:00,,,2,80 S,400,-77,410,16,2,480,86,,,,,,
18,S41E17,1998/01/17,4:09,360,350,431,471,429,5.6,1.6e+15*2,9.7e+29*2,82,AR,8131,2:06,βγ,,,,1998/01/21,4:00:00,1998/01/21,6:00:00,1998/01/22,13:00,,,3W,0,380,-11,400,13,0,430,96,,,,,,
19,N21E25,1998/01/25,15:26,360,693,888,611,657,-7.4,1.1e+16*2,2.7e+31*2,112,AR,8145,15:09,β,M1.3,,,1998/01/28,16:00(A),1998/01/29,20:00:00,1998/01/31,1:00,,,2,30 S,380,-55,410,7,0,557,74,,,,,,
20,S25E17,1998/02/14,6:55,206,123,,138,166,0.7*1,1.9e+15*2,1.4e+29*2,164,AR,8156,2:59,β,,,,1998/02/17,4:00:00,1998/02/17,10:00:00,1998/02/17,21:00,ns,ns,2W,30,400,-100,420,12,2H,602,68,,,,,,
21,N17W51,1998/02/28,12:48,169,176,,225,292,2.9*1,4.9e+14*2,7.7e+28*2,282,AR,8164,9:17,β,,,,1998/03/04,11:56:00,1998/03/04,13:00:00,1998/03/06,9:00,0,-9,1,30 S,350,-36,380,12,2,440,93,,,,,,
22,S18E20,1998/04/29,16:58,360,1374,1655,1151,1250,-44.8*1,1.0e+16*2,9.8e+31*2,336,AR,8210,16:37,βγδ,,,,1998/05/01,21:56:00,1998/05/02,5:00:00,1998/05/04,2:00,-2,-24,1,150 S,520,-85,650,11,2,780,53,,,,,,
23,S15W15,1998/05/02,14:06,360,938,1168,697,871,-28.8,7.7e+15*2,3.4e+31*2,331,AR,8210,13:36,γδ,X1.1,,,1998/05/04,02:15(A),1998/05/04,10:00:00,1998/05/07,23:00,-7,0,2,250 Wv,550,-205,830,10,0,1150,36,,,,,,
24,N18W39,1998/06/21,5:35,78,148,,185,292,3.2*1,,,286,AR,8243,23:10,β,C2.9,,,1998/06/24,10:00:00,1998/06/24,16:00:00,1998/06/25,23:00,0,0,2,80,450,-25,540,12,2,,#DIV/0!,,,,,,
25,,1998/08/24,22:00,,,,,,,,,,data gap jhelio,,,,,,,1998/08/26,6:51:00,1998/08/26,22:00:00,1998/08/28,0:00,0,18,2,200 S,650,-155,860,14,0,1260,33,,,,,,
26,,1998/10/15,10:04,360,262,406,322,321,3.2*1,6.6e+15*2,2.3e+30*2,264,data gap jhelio,,,,,,,1998/10/18,19:52:00,1998/10/19,4:00:00,1998/10/20,7:00,0,0,1,50 S,390,-112,430,18,2,510,81,,,,,,
27,N17W01,1998/11/04,7:54,360,523,809,723,758,19.6,1.6e+16*2,2.2e+31*2,349,AR,8375,6:38,βγ,C1.7,,,1998/11/07,8:15:00,1998/11/07,22:00:00,1998/11/09,1:00,0,0,2,130 S,450,-81,530,15,1,570,72,,,,,,
28,N22W18,1998/11/05,20:44,360,1118,1335,949,1044,-24.0*1,2.1e+16*2,1.3e+32*2,300,AR,8375,20:16,βγ,,,,1998/11/08,4:51:00,1998/11/09,1:00:00,1998/11/11,1:00,8,17,2,200 S,450,-149,640,12,2,740,56,,,,,,
29,N17W03,1998/11/09,18:17,190,325,,348,391,2.6,2.4e+15*2,1.3e+30*2,338,AR,8378,17:19,α,,,,1998/11/13,1:43:00,1998/11/13,2:00:00,1998/11/14,12:00,ns,ns,3,50,390,-131,400,17,2H,520,79,,,,,,
30,S33W05,1999/04/13,3:30,>260,291,,293,298,0.2*1,1.4e+15*2,5.9e+29*2,194,AR,8514,2:38,β,,,,1999/04/16,11:25:00,1999/04/16,18:00:00,1999/04/17,19:00,-6,8,1,50 S,410,-91,460,18,2,520,79,,,,,,
31,N17W47,1999/04/18,8:30,>112,475,,544,680,12.4*1,1.20E+15,1.40E+30,53,AR,8519,7:40,α,,,,1999/04/20,16:00:00,1999/04/21,4:00:00,1999/04/22,14:00,0,10,1,120,490,-29,620,8,2H,,#DIV/0!,,,,,,
32,N29W13,1999/06/24,13:31,360,975,1143,1135,1196,32.4,2.3e+15*2,1.1e+31*2,335,AR,8595,13:02,β,C4.1,,,1999/06/26,20:16:00,1999/06/27,22:00:00,1999/06/29,4:00,0,,3,100 S,670,-41,860,7,0,760,54,,,,,,
33,N18W62,1999/07/03,19:54,139,536,,588,560,3.1,8.4e+15*2,1.2e+31*2,303,AR,8602,19:35,β,C7.5,,,1999/07/06,15:09:00,1999/07/06,21:00:00,1999/07/07,2:00,ns,,2,50 S,460,-4,500,10,1,620,66,,,,,,
34,N21W01,1999/07/23,21:30,1233,329,,307,316,-0.9,7.5e+15*2,4.1e+30*2,52,AR,8636,20:37,βγδ,,,,1999/07/26,23:33(A),0199/07/27,17:00:00,1999/07/29,12:00,26,2,3,30 S,390,-38,460,6,0,560,73,,,,,,
35,S15W05,1999/07/28,4:30,>189,361,,375,373,0.8,----,----,96,AR,8649,3:25,β,,,,1999/07/30,16:00:00,1999/07/30,20:00:00,1999/07/31,8:00,0,0,3,90,620,-52,660,9,0,710,58,,,,,,
